file,class,line_comments,block_comments,comment_lines,total_comments
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\dao\OmsOrderDao.java,com.macro.mall.dao.OmsOrderDao,0,0,0,0
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\dao\OmsOrderOperateHistoryDao.java,<file_level>,0,1,4,1
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\dao\OmsOrderOperateHistoryDao.java,OmsOrderOperateHistoryDao,0,1,3,1
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\dao\OmsOrderOperateHistoryDao.java,com.macro.mall.dao.OmsOrderOperateHistoryDao,0,0,0,0
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\dao\OmsOrderReturnApplyDao.java,<file_level>,0,1,4,1
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\dao\OmsOrderReturnApplyDao.java,OmsOrderReturnApplyDao,0,2,6,2
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\dao\OmsOrderReturnApplyDao.java,com.macro.mall.dao.OmsOrderReturnApplyDao,0,0,0,0
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\dao\PmsMemberPriceDao.java,<file_level>,0,1,4,1
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\dao\PmsMemberPriceDao.java,PmsMemberPriceDao,0,1,3,1
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\dao\PmsMemberPriceDao.java,com.macro.mall.dao.PmsMemberPriceDao,0,0,0,0
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\dao\PmsProductAttributeCategoryDao.java,<file_level>,0,1,4,1
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\dao\PmsProductAttributeCategoryDao.java,PmsProductAttributeCategoryDao,0,1,3,1
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\dao\PmsProductAttributeCategoryDao.java,com.macro.mall.dao.PmsProductAttributeCategoryDao,0,0,0,0
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\dao\PmsProductAttributeDao.java,<file_level>,0,1,4,1
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\dao\PmsProductAttributeDao.java,PmsProductAttributeDao,0,1,3,1
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\dao\PmsProductAttributeDao.java,com.macro.mall.dao.PmsProductAttributeDao,0,0,0,0
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\dao\PmsProductAttributeValueDao.java,<file_level>,0,1,4,1
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\dao\PmsProductAttributeValueDao.java,PmsProductAttributeValueDao,0,1,3,1
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\dao\PmsProductAttributeValueDao.java,com.macro.mall.dao.PmsProductAttributeValueDao,0,0,0,0
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\dao\PmsProductCategoryAttributeRelationDao.java,<file_level>,0,1,4,1
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\dao\PmsProductCategoryAttributeRelationDao.java,PmsProductCategoryAttributeRelationDao,0,1,3,1
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\dao\PmsProductCategoryAttributeRelationDao.java,com.macro.mall.dao.PmsProductCategoryAttributeRelationDao,0,0,0,0
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\dao\PmsProductCategoryDao.java,<file_level>,0,1,4,1
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\dao\PmsProductCategoryDao.java,PmsProductCategoryDao,0,1,3,1
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\dao\PmsProductCategoryDao.java,com.macro.mall.dao.PmsProductCategoryDao,0,0,0,0
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\dao\PmsProductDao.java,<file_level>,0,1,4,1
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\dao\PmsProductDao.java,PmsProductDao,0,1,3,1
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\dao\PmsProductDao.java,com.macro.mall.dao.PmsProductDao,0,0,0,0
